method,method_name,family,group,group_value,kind,records,claim_total,graded_total,V+,V-,U,N/A,v_pos_rate,v_neg_rate,u_rate,na_rate_all_claims
a3,A3 derived only,ablation,type_k,1,all,29,244,232,181,22,29,12,0.7801724137931034,0.09482758620689655,0.125,0.04918032786885246
a3,A3 derived only,ablation,type_k,2,all,30,187,186,107,24,55,1,0.5752688172043011,0.12903225806451613,0.2956989247311828,0.0053475935828877
a3,A3 derived only,ablation,type_k,3,all,25,162,78,0,0,78,84,0.0,0.0,1.0,0.5185185185185185
a3,A3 derived only,ablation,type_k,4,all,30,88,81,59,0,22,7,0.7283950617283951,0.0,0.2716049382716049,0.07954545454545454
a3,A3 derived only,ablation,type_k,5,all,30,128,125,99,13,13,3,0.792,0.104,0.104,0.0234375
a3,A3 derived only,ablation,type_k,12,all,30,256,230,142,36,52,26,0.6173913043478261,0.1565217391304348,0.22608695652173913,0.1015625
a3,A3 derived only,ablation,type_k,15,all,29,188,175,148,16,11,13,0.8457142857142858,0.09142857142857143,0.06285714285714286,0.06914893617021277
a3,A3 derived only,ablation,type_k,26,all,30,212,198,162,20,16,14,0.8181818181818182,0.10101010101010101,0.08080808080808081,0.0660377358490566
a4,A4 fixed reference,ablation,type_k,1,all,30,320,290,250,18,22,30,0.8620689655172413,0.06206896551724138,0.07586206896551724,0.09375
a4,A4 fixed reference,ablation,type_k,2,all,30,210,208,162,10,36,2,0.7788461538461539,0.04807692307692308,0.17307692307692307,0.009523809523809525
a4,A4 fixed reference,ablation,type_k,3,all,30,177,131,100,12,19,46,0.7633587786259542,0.0916030534351145,0.1450381679389313,0.2598870056497175
a4,A4 fixed reference,ablation,type_k,4,all,30,120,103,45,1,57,17,0.4368932038834951,0.009708737864077669,0.5533980582524272,0.14166666666666666
a4,A4 fixed reference,ablation,type_k,5,all,30,142,140,128,11,1,2,0.9142857142857143,0.07857142857142857,0.007142857142857143,0.014084507042253521
a4,A4 fixed reference,ablation,type_k,12,all,30,224,210,179,8,23,14,0.8523809523809524,0.0380952380952381,0.10952380952380952,0.0625
a4,A4 fixed reference,ablation,type_k,15,all,30,176,169,135,7,27,7,0.7988165680473372,0.04142011834319527,0.15976331360946747,0.03977272727272727
a4,A4 fixed reference,ablation,type_k,26,all,30,262,252,223,21,8,10,0.8849206349206349,0.08333333333333333,0.031746031746031744,0.03816793893129771
