method,method_name,family,group,group_value,kind,records,claim_total,graded_total,V+,V-,U,N/A,v_pos_rate,v_neg_rate,u_rate,na_rate_all_claims
ours,Full NS-XAI,main,overall,all,all,240,2339,2219,1626,202,391,120,0.7327625056331681,0.09103199639477241,0.17620549797205948,0.051303976058144504
b1,B1 trajectory-only,baseline,overall,all,all,240,2221,2178,1595,315,268,43,0.7323232323232324,0.1446280991735537,0.12304866850321396,0.01936064835659613
b2,B2 trajectory + policy,baseline,overall,all,all,240,1752,1673,1164,321,188,79,0.6957561267184699,0.19187089061566048,0.11237298266586969,0.04509132420091324
b4,B4/A1 single-snapshot,baseline_ablation,overall,all,all,232,1327,1182,708,177,297,145,0.5989847715736041,0.14974619289340102,0.2512690355329949,0.1092690278824416
a2,A2 PCTL only,ablation,overall,all,all,195,1073,957,669,37,251,116,0.6990595611285266,0.038662486938349006,0.26227795193312436,0.10810810810810811
a3,A3 derived only,ablation,overall,all,all,233,1465,1305,898,131,276,160,0.6881226053639847,0.10038314176245211,0.21149425287356322,0.10921501706484642
a4,A4 fixed reference,ablation,overall,all,all,240,1631,1503,1222,88,193,128,0.8130405854956753,0.05854956753160346,0.12840984697272123,0.07847946045370938
