method,method_name,family,group,group_value,records,records_with_targets,status_counts,delta_targets,delta_recovered,delta_coverage_rate,sign_matches,sign_match_rate_all,sign_match_rate_recovered,magnitude_n,magnitude_mae,spearman_n,spearman,scalar_targets,scalar_recovered,scalar_coverage_rate,scalar_within_tolerance,scalar_within_tolerance_rate,scalar_mae
ours,Full NS-XAI,main,overall,all,240,230,"{""no_targets"": 10, ""ok"": 230}",1540,562,0.36493506493506495,527,0.3422077922077922,0.9377224199288257,392,15.772554415816384,392,0.9019812897351258,60,60,1.0,60,1.0,0.0
b1,B1 trajectory-only,baseline,overall,all,240,230,"{""no_targets"": 10, ""ok"": 230}",1540,34,0.02207792207792208,15,0.00974025974025974,0.4411764705882353,11,32.42545454545455,11,-0.27880184331797236,60,1,0.016666666666666666,0,0.0,23.0
b2,B2 trajectory + policy,baseline,overall,all,240,230,"{""no_targets"": 10, ""ok"": 230}",1540,57,0.03701298701298701,17,0.01103896103896104,0.2982456140350877,31,26.799677419354836,31,-0.43124990907206556,60,2,0.03333333333333333,0,0.0,25.5
b4,B4/A1 single-snapshot,baseline_ablation,overall,all,240,230,"{""no_targets"": 10, ""ok"": 230}",1540,201,0.1305194805194805,94,0.06103896103896104,0.46766169154228854,36,44.55043258333333,36,-0.05081879168884698,60,0,0.0,0,0.0,
a2,A2 PCTL only,ablation,overall,all,240,230,"{""no_targets"": 10, ""ok"": 230}",1540,226,0.14675324675324675,154,0.1,0.6814159292035398,172,21.849647162790692,172,0.6440336899769268,60,0,0.0,0,0.0,
a3,A3 derived only,ablation,overall,all,240,230,"{""no_targets"": 10, ""ok"": 230}",1540,268,0.17402597402597403,206,0.13376623376623376,0.7686567164179104,115,21.901043478260874,115,0.7205036852649,60,60,1.0,60,1.0,0.0
a4,A4 fixed reference,ablation,overall,all,240,230,"{""no_targets"": 10, ""ok"": 230}",1540,378,0.24545454545454545,237,0.1538961038961039,0.626984126984127,274,48.78142863868604,274,0.4016289252901102,60,46,0.7666666666666667,46,0.7666666666666667,0.0
