method,method_name,family,group,group_value,kind,records,claim_total,graded_total,V+,V-,U,N/A,v_pos_rate,v_neg_rate,u_rate,na_rate_all_claims
b1,B1 trajectory-only,baseline,type_k,5,numerical,30,145,145,132,0,13,0,0.9103448275862069,0.0,0.0896551724137931,0.0
b1,B1 trajectory-only,baseline,type_k,12,categorical,29,58,58,5,49,4,0,0.08620689655172414,0.8448275862068966,0.06896551724137931,0.0
b1,B1 trajectory-only,baseline,type_k,12,causal,4,6,0,0,0,0,6,,,,1.0
b1,B1 trajectory-only,baseline,type_k,12,comparative,8,10,10,4,0,6,0,0.4,0.0,0.6,0.0
b1,B1 trajectory-only,baseline,type_k,12,numerical,30,263,263,235,0,28,0,0.8935361216730038,0.0,0.10646387832699619,0.0
b1,B1 trajectory-only,baseline,type_k,15,categorical,26,53,53,9,37,7,0,0.16981132075471697,0.6981132075471698,0.1320754716981132,0.0
b1,B1 trajectory-only,baseline,type_k,15,causal,4,6,0,0,0,0,6,,,,1.0
b1,B1 trajectory-only,baseline,type_k,15,comparative,5,5,5,4,0,1,0,0.8,0.0,0.2,0.0
b1,B1 trajectory-only,baseline,type_k,15,numerical,30,182,182,167,0,15,0,0.9175824175824175,0.0,0.08241758241758242,0.0
b1,B1 trajectory-only,baseline,type_k,26,categorical,20,44,44,9,34,1,0,0.20454545454545456,0.7727272727272727,0.022727272727272728,0.0
b1,B1 trajectory-only,baseline,type_k,26,causal,2,2,0,0,0,0,2,,,,1.0
b1,B1 trajectory-only,baseline,type_k,26,comparative,7,7,7,3,1,3,0,0.42857142857142855,0.14285714285714285,0.42857142857142855,0.0
b1,B1 trajectory-only,baseline,type_k,26,numerical,30,196,196,164,0,32,0,0.8367346938775511,0.0,0.16326530612244897,0.0
b2,B2 trajectory + policy,baseline,type_k,1,categorical,19,43,43,10,29,4,0,0.23255813953488372,0.6744186046511628,0.09302325581395349,0.0
b2,B2 trajectory + policy,baseline,type_k,1,causal,9,14,0,0,0,0,14,,,,1.0
b2,B2 trajectory + policy,baseline,type_k,1,comparative,17,29,29,24,3,2,0,0.8275862068965517,0.10344827586206896,0.06896551724137931,0.0
b2,B2 trajectory + policy,baseline,type_k,1,numerical,30,184,184,161,14,9,0,0.875,0.07608695652173914,0.04891304347826087,0.0
b2,B2 trajectory + policy,baseline,type_k,2,categorical,28,70,70,10,55,5,0,0.14285714285714285,0.7857142857142857,0.07142857142857142,0.0
b2,B2 trajectory + policy,baseline,type_k,2,causal,3,3,0,0,0,0,3,,,,1.0
b2,B2 trajectory + policy,baseline,type_k,2,comparative,6,10,10,10,0,0,0,1.0,0.0,0.0,0.0
b2,B2 trajectory + policy,baseline,type_k,2,numerical,30,113,113,106,2,5,0,0.9380530973451328,0.017699115044247787,0.04424778761061947,0.0
