method,method_name,family,query_id,type_k,scenario,status,claim_status,latency_sec,explanation_words,explanation_chars,input_words,input_chars,claim_count,numerical_claim_count,categorical_claim_count,comparative_claim_count,causal_claim_count,unique_numeric_values
ours,Full NS-XAI,main,Q0076,1,1,ok,ok,40.43,223,1384,201,1401,21,12,5,3,1,11
ours,Full NS-XAI,main,Q0096,1,1,ok,ok,26.82,224,1389,198,1361,16,9,2,3,2,9
ours,Full NS-XAI,main,Q0721,1,1,ok,ok,25.14,238,1538,183,1260,12,8,1,2,1,8
ours,Full NS-XAI,main,Q0851,1,1,ok,ok,15.85,214,1314,199,1382,15,10,3,1,1,9
ours,Full NS-XAI,main,Q0861,1,1,ok,ok,17.45,259,1591,201,1376,17,11,2,4,0,10
ours,Full NS-XAI,main,Q0871,1,1,ok,ok,20.04,206,1255,201,1389,21,14,4,2,1,9
ours,Full NS-XAI,main,Q0881,1,1,ok,ok,15.23,212,1306,197,1381,16,10,1,5,0,9
ours,Full NS-XAI,main,Q0886,1,1,ok,ok,53.18,228,1405,201,1389,13,12,0,1,0,10
ours,Full NS-XAI,main,Q0976,1,1,ok,ok,32.32,267,1619,290,1798,13,12,1,0,0,10
ours,Full NS-XAI,main,Q0211,2,1,ok,ok,16.66,200,1221,200,1235,10,4,5,1,0,3
ours,Full NS-XAI,main,Q0221,2,1,ok,ok,31.7,193,1200,235,1439,12,8,3,1,0,7
ours,Full NS-XAI,main,Q0231,2,1,ok,ok,17.15,195,1182,232,1434,10,6,4,0,0,5
ours,Full NS-XAI,main,Q0236,2,1,ok,ok,15.92,207,1295,232,1463,3,2,1,0,0,2
ours,Full NS-XAI,main,Q0241,2,1,ok,ok,16.01,193,1234,233,1440,6,3,2,1,0,3
ours,Full NS-XAI,main,Q0341,3,1,ok,ok,18.1,216,1365,59,408,5,3,2,0,0,2
ours,Full NS-XAI,main,Q0346,3,1,ok,ok,14.72,205,1289,60,412,6,3,3,0,0,3
ours,Full NS-XAI,main,Q0351,3,1,ok,ok,15.78,192,1194,62,412,4,1,3,0,0,1
ours,Full NS-XAI,main,Q0361,3,1,ok,ok,14.91,163,1032,58,400,4,3,0,0,1,3
ours,Full NS-XAI,main,Q0366,3,1,ok,ok,16.33,175,1095,60,411,6,2,2,0,2,2
ours,Full NS-XAI,main,Q0371,3,1,ok,ok,15.89,221,1363,60,403,10,3,3,2,2,3
ours,Full NS-XAI,main,Q0376,3,1,ok,ok,17.52,223,1395,60,409,4,4,0,0,0,4
ours,Full NS-XAI,main,Q1501,3,1,ok,ok,14.73,218,1353,60,409,6,5,0,0,1,3
ours,Full NS-XAI,main,Q0461,4,1,ok,ok,72.47,156,1013,40,339,3,3,0,0,0,1
ours,Full NS-XAI,main,Q0466,4,1,ok,ok,13.46,146,898,42,349,5,3,0,1,1,2
ours,Full NS-XAI,main,Q0471,4,1,ok,ok,11.81,164,1062,41,341,5,2,2,0,1,2
ours,Full NS-XAI,main,Q0476,4,1,ok,ok,11.3,160,1018,41,342,5,5,0,0,0,2
ours,Full NS-XAI,main,Q0486,4,1,ok,ok,13.54,145,921,38,327,8,2,4,0,2,1
ours,Full NS-XAI,main,Q0491,4,1,ok,ok,15.81,147,958,38,334,8,2,4,0,2,2
ours,Full NS-XAI,main,Q0496,4,1,ok,ok,10.2,108,700,40,338,3,2,1,0,0,2
ours,Full NS-XAI,main,Q1386,4,1,ok,ok,10.4,127,842,40,337,5,1,3,0,1,1
ours,Full NS-XAI,main,Q1526,4,1,ok,ok,9.26,93,582,41,335,4,2,2,0,0,1
ours,Full NS-XAI,main,Q0581,5,1,ok,ok,16.36,202,1255,168,1058,5,2,3,0,0,2
ours,Full NS-XAI,main,Q0586,5,1,ok,ok,15.4,217,1333,168,1038,7,4,3,0,0,3
ours,Full NS-XAI,main,Q0591,5,1,ok,ok,18.09,198,1237,194,1200,10,6,4,0,0,5
ours,Full NS-XAI,main,Q0596,5,1,ok,ok,24.68,206,1285,165,1046,7,4,3,0,0,4
ours,Full NS-XAI,main,Q0601,5,1,ok,ok,25.35,217,1395,169,1051,9,5,4,0,0,4
ours,Full NS-XAI,main,Q0606,5,1,ok,ok,15.35,203,1247,194,1202,8,3,5,0,0,3
ours,Full NS-XAI,main,Q0611,5,1,ok,ok,18.74,177,1069,167,1035,7,3,4,0,0,3
ours,Full NS-XAI,main,Q0616,5,1,ok,ok,16.8,227,1439,224,1401,5,3,2,0,0,3
ours,Full NS-XAI,main,Q1551,5,1,ok,ok,15.99,205,1260,225,1402,7,5,2,0,0,4
ours,Full NS-XAI,main,Q1556,5,1,ok,ok,15.2,162,998,170,1058,8,7,1,0,0,6
ours,Full NS-XAI,main,Q1191,26,1,ok,ok,52.79,263,1716,232,1446,13,12,1,0,0,10
ours,Full NS-XAI,main,Q1196,26,1,ok,ok,28.24,237,1470,232,1438,11,8,3,0,0,7
ours,Full NS-XAI,main,Q1201,26,1,ok,ok,48.29,238,1470,235,1461,12,12,0,0,0,9
ours,Full NS-XAI,main,Q1206,26,1,ok,ok,24.85,288,1862,233,1456,20,16,2,1,1,12
ours,Full NS-XAI,main,Q1211,26,1,ok,ok,47.85,247,1567,230,1435,13,13,0,0,0,11
ours,Full NS-XAI,main,Q1216,26,1,ok,ok,37.95,276,1670,233,1453,15,10,2,2,1,10
ours,Full NS-XAI,main,Q1221,26,1,ok,ok,15.99,270,1708,232,1439,15,12,2,0,1,10
ours,Full NS-XAI,main,Q1226,26,1,ok,ok,22.03,249,1543,233,1461,12,12,0,0,0,10
ours,Full NS-XAI,main,Q1671,26,1,ok,ok,41.56,161,1005,232,1441,9,9,0,0,0,8
ours,Full NS-XAI,main,Q1676,26,1,ok,ok,23.01,167,1081,232,1440,10,7,1,2,0,6
ours,Full NS-XAI,main,Q0101,1,2,ok,ok,49.76,217,1353,200,1393,15,11,2,1,1,9
ours,Full NS-XAI,main,Q0111,1,2,ok,ok,34.25,254,1523,180,1238,9,6,2,0,1,6
ours,Full NS-XAI,main,Q0766,1,2,ok,ok,21.06,217,1325,201,1395,9,8,1,0,0,8
ours,Full NS-XAI,main,Q0786,1,2,ok,ok,16.54,245,1550,201,1401,16,10,4,2,0,8
ours,Full NS-XAI,main,Q0896,1,2,ok,ok,15.26,239,1499,179,1233,14,13,0,1,0,9
ours,Full NS-XAI,main,Q0911,1,2,ok,ok,17.2,248,1496,200,1389,15,11,1,3,0,11
ours,Full NS-XAI,main,Q0916,1,2,ok,ok,14.38,215,1319,199,1373,17,10,6,1,0,10
ours,Full NS-XAI,main,Q0921,1,2,ok,ok,17.95,263,1624,200,1399,18,9,6,3,0,9
ours,Full NS-XAI,main,Q0926,1,2,ok,ok,24.19,233,1430,182,1241,15,12,2,1,0,9
ours,Full NS-XAI,main,Q1041,1,2,ok,ok,18.22,250,1556,254,1604,7,6,1,0,0,6
ours,Full NS-XAI,main,Q0251,2,2,ok,ok,21.74,188,1175,233,1443,6,4,2,0,0,4
ours,Full NS-XAI,main,Q0256,2,2,ok,ok,17.37,221,1389,176,1096,7,6,1,0,0,6
ours,Full NS-XAI,main,Q0266,2,2,ok,ok,15.97,193,1192,233,1443,7,0,5,2,0,0
ours,Full NS-XAI,main,Q0281,2,2,ok,ok,21.05,193,1189,235,1452,9,7,1,1,0,5
ours,Full NS-XAI,main,Q0286,2,2,ok,ok,14.52,196,1233,234,1454,10,8,1,1,0,6
ours,Full NS-XAI,main,Q0381,3,2,ok,ok,42.04,212,1280,59,407,11,3,8,0,0,2
ours,Full NS-XAI,main,Q0386,3,2,ok,ok,14.95,198,1248,60,409,11,5,2,0,4,3
ours,Full NS-XAI,main,Q0391,3,2,ok,ok,17.35,222,1430,58,402,8,5,2,0,1,5
ours,Full NS-XAI,main,Q0396,3,2,ok,ok,31.01,264,1562,58,394,3,3,0,0,0,2
ours,Full NS-XAI,main,Q0401,3,2,ok,ok,27.44,232,1429,60,415,5,4,1,0,0,3
ours,Full NS-XAI,main,Q0406,3,2,ok,ok,23.11,171,1065,57,397,1,1,0,0,0,1
ours,Full NS-XAI,main,Q0411,3,2,ok,ok,17.85,214,1308,60,401,6,4,0,0,2,4
ours,Full NS-XAI,main,Q0416,3,2,ok,ok,16.15,240,1435,61,420,4,4,0,0,0,4
ours,Full NS-XAI,main,Q1516,3,2,ok,ok,23.9,188,1134,57,392,4,2,2,0,0,2
ours,Full NS-XAI,main,Q1521,3,2,ok,ok,18.01,217,1313,58,399,8,7,0,0,1,4
ours,Full NS-XAI,main,Q0506,4,2,ok,ok,9.31,122,745,40,337,3,2,0,0,1,1
ours,Full NS-XAI,main,Q0511,4,2,ok,ok,10.01,116,733,40,335,4,3,0,1,0,2
ours,Full NS-XAI,main,Q0516,4,2,ok,ok,10.92,120,740,39,325,7,3,3,0,1,2
ours,Full NS-XAI,main,Q0521,4,2,ok,ok,6.66,93,582,39,328,4,2,1,0,1,2
ours,Full NS-XAI,main,Q0531,4,2,ok,ok,9.63,148,930,40,336,5,4,1,0,0,2
ours,Full NS-XAI,main,Q1541,4,2,ok,ok,9.34,144,886,42,343,4,4,0,0,0,2
ours,Full NS-XAI,main,Q1546,4,2,ok,ok,8.58,116,726,40,331,3,1,2,0,0,1
ours,Full NS-XAI,main,Q0621,5,2,ok,ok,18.76,167,1025,168,1055,6,3,3,0,0,3
ours,Full NS-XAI,main,Q0626,5,2,ok,ok,12.19,164,1046,168,1042,6,2,3,1,0,2
ours,Full NS-XAI,main,Q0631,5,2,ok,ok,14.18,189,1172,195,1229,9,5,2,1,1,5
ours,Full NS-XAI,main,Q0636,5,2,ok,ok,15.84,231,1441,168,1052,8,5,2,1,0,3
ours,Full NS-XAI,main,Q0641,5,2,ok,ok,17.2,167,1037,168,1043,8,3,5,0,0,3
ours,Full NS-XAI,main,Q0646,5,2,ok,ok,12.76,184,1123,194,1216,10,7,2,1,0,7
ours,Full NS-XAI,main,Q0651,5,2,ok,ok,25.26,186,1114,168,1054,10,5,3,2,0,5
ours,Full NS-XAI,main,Q0656,5,2,ok,ok,15.21,173,1068,225,1406,5,2,1,1,1,2
ours,Full NS-XAI,main,Q1566,5,2,ok,ok,15.65,224,1411,224,1396,7,7,0,0,0,6
ours,Full NS-XAI,main,Q1051,12,2,ok,ok,15.12,204,1272,258,1648,10,8,0,1,1,8
ours,Full NS-XAI,main,Q1056,12,2,ok,ok,34.31,210,1349,200,1289,23,12,6,1,4,12
ours,Full NS-XAI,main,Q1061,12,2,ok,ok,26.46,161,1042,227,1462,6,4,1,0,1,4
ours,Full NS-XAI,main,Q1066,12,2,ok,ok,26.78,200,1249,260,1660,13,8,3,1,1,8
ours,Full NS-XAI,main,Q1071,12,2,ok,ok,15.01,224,1444,200,1283,12,8,0,2,2,8
ours,Full NS-XAI,main,Q1081,12,2,ok,ok,17.56,226,1397,258,1649,17,10,6,1,0,10
ours,Full NS-XAI,main,Q1086,12,2,ok,ok,38.47,230,1490,259,1670,7,5,2,0,0,5
ours,Full NS-XAI,main,Q1091,12,2,ok,ok,18.8,204,1255,202,1295,10,8,0,1,1,8
ours,Full NS-XAI,main,Q1096,12,2,ok,ok,39.07,194,1203,229,1476,18,12,4,0,2,12
